bill_number,session,bill_url,fiscal_impact,current_status,bill_name,bill_summary
0030,126,https://www.scstatehouse.gov/billsearch.php?billnumbers=30&session=126&summary=B&PRINT=1,no,01/15/25 Scrivener's error corrected,"S 0030 General Bill, By Hutto and Reichenbach","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 59-26-110, RELATING TO YOUTH SUICIDE PREVENTION TEACHER TRAINING, SO AS TO PROVIDE REQUIREMENTS FOR THE TRAINING OF INDIVIDUALS EMPLOYED IN A KINDERGARTEN THROUGH TWELFTH GRADE SCHOOL OR AN INSTITUTION OF HIGHER EDUCATION."
0031,126,https://www.scstatehouse.gov/billsearch.php?billnumbers=31&session=126&summary=B&PRINT=1,no,01/14/25 Senate Introduced and read first time (Senate Journal-page 37),"S 0031 General Bill, By Hutto and Reichenbach","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 59-1-375, RELATING TO STUDENT IDENTIFICATION CARDS AND CONTACT INFORMATION FOR THE NATIONAL SUICIDE PREVENTION LIFELINE, SO AS TO PROVIDE FOR THE INCLUSION OF PRIVATE SCHOOLS SERVING KINDERGARTEN THROUGH TWELFTH GRADE, AND TO PROVIDE ALTERNATIVE METHODS OF DELIVERY OF INFORMATION FOR SCHOOLS THAT DO NOT ISSUE IDENTIFICATION CARDS."
0032,126,https://www.scstatehouse.gov/billsearch.php?billnumbers=32&session=126&summary=B&PRINT=1,yes,04/23/25 House Introduced and read first time (House Journal-page 55),"S 0032 General Bill, By Grooms, Leber, Rice, Reichenbach, Climer, Garrett, Jackson and Zell","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS SO AS TO ENACT THE ""PREGNANCY RESOURCE ACT""; BY ADDING SECTION 12-6-3383 SO AS TO PROVIDE FOR A TAX CREDIT FOR VOLUNTARY CASH CONTRIBUTIONS MADE TO A PREGNANCY RESOURCE CENTER OR CRISIS PREGNANCY CENTER AND TO PROVIDE GUIDELINES FOR THE CREDIT."
0033,126,https://www.scstatehouse.gov/billsearch.php?billnumbers=33&session=126&summary=B&PRINT=1,no,01/15/25 Scrivener's error corrected,"S 0033 General Bill, By Grooms","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 7-13-771, RELATING TO VOTING BY HANDICAPPED AND ELDERLY ELECTORS WHO CANNOT ENTER THE POLLING PLACE OR CANNOT STAND IN LINE TO VOTE, SO AS TO PROVIDE THAT THE ELECTOR MAY CHOOSE A PERSON TO REMAIN IN THE VEHICLE WHILE THE ELECTOR COMPLETES HIS BALLOT; BY AMENDING SECTION 7-13-780, RELATING TO DESIGNATION OF VOTERS WHO MAY RECEIVE ASSISTANCE, SO AS TO PROVIDE THAT A HANDICAPPED OR ELDERLY PERSON VOTING PURSUANT TO SECTION 7-13-771 IS ENTITLED TO ASSISTANCE WHEN VOTING; AND BY AMENDING SECTION 7-5-180, RELATING TO PROCEDURES FOR REGISTRATION WHEN QUALIFICATION IS COMPLETED AFTER CLOSING BOOKS, SO AS TO PROVIDE THAT A PERSON WHO HAS NOT ATTAINED THE AGE OF EIGHTEEN YEARS BEFORE THE CLOSING OF THE BOOKS OF REGISTRATION PRECEDING ANY ELECTION, INCLUDING PRESIDENTIAL PRIMARY ELECTIONS, BUT ATTAINS THAT AGE BEFORE THE NEXT ENSUING ELECTION MAY REGISTER TO VOTE ELECTRONICALLY PURSUANT TO SECTION 7-5-185 OR BY APPEARING BEFORE HIS COUNTY BOARD OF VOTER REGISTRATION AND ELECTIONS."
0034,126,https://www.scstatehouse.gov/billsearch.php?billnumbers=34&session=126&summary=B&PRINT=1,no,01/14/25 Senate Introduced and read first time (Senate Journal-page 38),"S 0034 General Bill, By Cromer","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 2-65-70, RELATING TO THE RECOVERY OF INDIRECT COSTS, SO AS TO PROVIDE THAT CERTAIN PROVISIONS DO NOT APPLY TO NONRESEARCH GRANTS FOR PUBLIC INSTITUTIONS OF HIGHER LEARNING THAT SUPPORT THE MISSION OF ANOTHER STATE AGENCY, INSTITUTION, OR UNIT OF GOVERNMENT."
0035,126,https://www.scstatehouse.gov/billsearch.php?billnumbers=35&session=126&summary=B&PRINT=1,yes,02/06/25 Scrivener's error corrected,"S 0035 Joint Resolution, By Campsen, Grooms, Rice and Kimbrell","A JOINT RESOLUTION PROPOSING AN AMENDMENT TO SECTION 7, ARTICLE VI OF THE CONSTITUTION OF SOUTH CAROLINA, RELATING TO THE CONSTITUTIONAL OFFICERS OF THIS STATE, SO AS TO DELETE THE COMPTROLLER GENERAL FROM THE LIST OF CONSTITUTIONAL OFFICERS AND TO PROVIDE THAT THE GENERAL ASSEMBLY SHALL PROVIDE BY LAW THE DUTIES OF THE COMPTROLLER GENERAL; PROPOSING AN AMENDMENT TO SECTION 12, ARTICLE IV OF THE CONSTITUTION OF SOUTH CAROLINA, RELATING TO DISABILITY OF THE GOVERNOR, SO AS TO REMOVE THE COMPTROLLER GENERAL AS AN OFFICER WHO, ALONG WITH OTHER OFFICERS, MAY CAUSE THE GOVERNOR TO BE REMOVED FROM OFFICE; AND PROPOSING AN AMENDMENT TO SECTION 13, ARTICLE X OF THE CONSTITUTION OF SOUTH CAROLINA, RELATING TO BONDED INDEBTEDNESS OF THE STATE, SO AS TO REQUIRE THE GOVERNOR PERFORM THE FORMER DUTIES OF THE COMPTROLLER GENERAL."
0036,126,https://www.scstatehouse.gov/billsearch.php?billnumbers=36&session=126&summary=B&PRINT=1,yes,"01/16/25 Senate Referred to Subcommittee: Campsen (ch), Johnson, Kimbrell, Devine, Blackmon, Sutton, Zell","S 0036 General Bill, By Campsen","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 7-7-10, RELATING TO VOTING PRECINCTS, SO AS TO REQUIRE THE POLLING PLACES FOR THE VOTING PRECINCTS TO BE ESTABLISHED BY THE COUNTY BOARDS OF VOTER REGISTRATION AND ELECTIONS IN ACCORDANCE WITH CERTAIN CRITERIA; BY AMENDING SECTION 7-7-710, RELATING TO A REPORT BY THE STATE ELECTION COMMISSION OF POLLING PRECINCTS WITH GREATER THAN ONE THOUSAND FIVE HUNDRED REGISTERED ELECTORS, SO AS TO REVISE THE PRECINCTS THAT MUST BE LISTED IN THE REPORT; BY AMENDING SECTION 7-7-720, RELATING TO THE NOTICE TO PERSONS WHOSE REGISTRATION IS TRANSFERRED, SO AS TO CONFORM THE SECTION TO AMENDMENTS TO SECTION 7-7-710; BY AMENDING SECTION 7-7-910, RELATING TO ALTERNATIVE POLLING PLACES, SO AS TO REVISE THE NOTIFICATION PROCEDURES WHEN AN ALTERNATIVE POLLING PLACE IS SELECTED; BY AMENDING SECTION 7-7-920, RELATING TO PLACES WHERE ELECTORS SHALL VOTE IN MUNICIPAL ELECTIONS, SO AS TO AUTHORIZE A CITY OR TOWN WITH A POPULATION UNDER THREE THOUSAND TO VOTE AT ONE POLLING PLACE IN MUNICIPAL ELECTIONS; BY AMENDING SECTION 7-7-1000, RELATING TO POLLING PRECINCTS IN MUNICIPAL ELECTIONS, SO AS TO PROVIDE THE SECTION ONLY APPLIES TO ELECTIONS CONDUCTED BY MUNICIPAL ELECTION COMMISSIONS; AND BY REPEALING SECTION 7-7-730, RELATING TO THE DIVISION OF PRECINCTS HAVING MORE THAN 750 ELECTORS."
0037,126,https://www.scstatehouse.gov/billsearch.php?billnumbers=37&session=126&summary=B&PRINT=1,yes,"01/16/25 Senate Referred to Subcommittee: Campsen (ch), Johnson, Kimbrell, Devine, Blackmon, Sutton, Zell","S 0037 General Bill, By Campsen","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING SECTION 5-15-45 SO AS TO PROVIDE FOR THE EXPIRATION OF THE TERMS OF OFFICE FOR CERTAIN MUNICIPAL OFFICEHOLDERS; BY AMENDING SECTION GENERAL ELECTIONS BE HELD ONLY ON CERTAIN ENUMERATED DATES; BY AMENDING SECTION 5-15-100, RELATING TO THE FUNCTIONS, POWERS, AND DUTIES OF MUNICIPAL ELECTION COMMISSIONS, SO AS TO REQUIRE MUNICIPAL ELECTION COMMISSIONS CERTIFY RESULTS NOT LATER THAN THREE DAYS FOLLOWING AN ELECTION; BY AMENDING SECTION 5-15-120, RELATING TO MUNICIPAL ELECTION RESULTS, SO AS TO PROVIDE A CANDIDATE WHO IS DECLARED ELECTED BY CERTIFICATION OF THE ELECTION RESULTS HAS THE RIGHT TO TAKE THE OATH OF OFFICE AND TO PERFORM THE DUTIES OF THE OFFICE PENDING THE OUTCOME OF A CONTEST; BY AMENDING SECTION 5-15-130, RELATING TO PROCEDURES FOR CONTESTING THE RESULTS OF AN ELECTION, SO AS TO REVISE THE DATE IN WHICH A WRITTEN NOTICE OF CONTEST MUST BE PROVIDED; BY AMENDING SECTION 5-15-140, RELATING TO APPEALS FROM DECISIONS OF MUNICIPAL ELECTION COMMISSIONS, SO AS TO REQUIRE APPEALS BE GRANTED FIRST PRIORITY OF CONSIDERATION BY THE COURT; BY AMENDING SECTION 5-15-145, RELATING TO THE TRANSFER OF AUTHORITY TO CONDUCT MUNICIPAL ELECTIONS, SO AS TO UPDATE TERMS; BY AMENDING SECTION 7-3-25, RELATING TO THE DUTY OF THE STATE ELECTION COMMISSION TO DETERMINE AND CERTIFY THE OUTCOME OF CERTAIN ELECTIONS, SO AS TO REQUIRE THE STATE ELECTION COMMISSION TO DETERMINE AND CERTIFY THE OUTCOME OF CERTAIN MUNICIPAL ELECTIONS; BY AMENDING SECTION 7-13-1160, RELATING TO THE REPORTING OF ELECTION RESULTS TO THE STATE ELECTION COMMISSION, SO AS TO REQUIRE ELECTION RESULTS TO BE REPORTED CONTINUOUSLY AND WITHOUT UNDUE DELAY; AND BY AMENDING SECTION 7-15-420, RELATING TO THE TABULATION OF ABSENTEE BALLOTS, SO AS TO AUTHORIZE EARLY VOTING TABULATION DATA TO BE LOADED INTO THE ELECTION MANAGEMENT SYSTEM AT THE SAME TIME AS ABSENTEE BALLOT TABULATION DATA."
0038,126,https://www.scstatehouse.gov/billsearch.php?billnumbers=38&session=126&summary=B&PRINT=1,yes,02/13/25 House Introduced and read first time (House Journal-page 47),"S 0038 General Bill, By Campsen and Zell","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 7-13-190, RELATING TO SPECIAL ELECTIONS TO FILL VACANCIES IN OFFICE, SO AS TO REQUIRE SPECIAL ELECTIONS TO BE HELD ONLY ON CERTAIN ENUMERATED DATES."
0039,126,https://www.scstatehouse.gov/billsearch.php?billnumbers=39&session=126&summary=B&PRINT=1,no,01/14/25 Senate Introduced and read first time (Senate Journal-page 41),"S 0039 General Bill, By Williams, Hutto and Graham","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 16-11-520, RELATING TO MALICIOUS INJURY TO A TREE, HOUSE, OUTSIDE FENCE, OR FIXTURE, SO AS TO PROVIDE FOR THE EXCEPTION OF TRIMMING TREE LIMBS THAT ENCROACH UPON A PROPERTY LINE."
0040,126,https://www.scstatehouse.gov/billsearch.php?billnumbers=40&session=126&summary=B&PRINT=1,yes,01/14/25 Senate Introduced and read first time (Senate Journal-page 42),"S 0040 General Bill, By Davis","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ENACTING THE ""IN VITRO FERTILIZATION ACT"" BY ADDING CHAPTER 140 TO TITLE 44 SO AS TO ADD A DEFINITION FOR ""ASSISTIVE REPRODUCTIVE TECHNOLOGIES"" AND TO PROVIDE RELATED PROTECTIONS TO ACCESS THESE TECHNOLOGIES; AND BY ADDING SECTION 16-3-100 SO AS TO PROVIDE THAT A FERTILIZED HUMAN EGG OR HUMAN EMBRYO OUTSIDE OF THE UTERUS OF A HUMAN BODY IS NOT CONSIDERED AN UNBORN CHILD OR ANOTHER TERM THAT CONNOTES A HUMAN BEING FOR ANY PURPOSE UNDER STATE LAW."
0041,126,https://www.scstatehouse.gov/billsearch.php?billnumbers=41&session=126&summary=B&PRINT=1,no,01/14/25 Senate Introduced and read first time (Senate Journal-page 42),"S 0041 General Bill, By Davis and Devine","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 59-32-10, RELATING TO DEFINITIONS FOR THE COMPREHENSIVE HEALTH EDUCATION PROGRAM, SO AS TO AMEND THE DEFINITION OF ACCURATE INSTRUCTION, AND TO PROVIDE THAT ABSTINENCE MAY NOT BE TAUGHT AS THE ONLY OR PRIMARY METHOD OF PREGNANCY PREVENTION AND THE PREVENTION OF SEXUALLY TRANSMITTED DISEASES; BY AMENDING SECTION 59-32-10, RELATING TO DEFINITIONS FOR THE COMPREHENSIVE HEALTH EDUCATION PROGRAM, SO AS TO AMEND THE DEFINITION OF ""PREGNANCY PREVENTION EDUCATION"" TO INCLUDE THE BENEFITS OF ABSTINENCE UNTIL MARRIAGE; AND BY AMENDING SECTION 59-32-30, RELATING TO LOCAL SCHOOL BOARDS IMPLEMENTING THE COMPREHENSIVE HEALTH EDUCATION PROGRAM, SO AS TO INCLUDE DOMESTIC VIOLENCE AND PREGNANCY PREVENTION EDUCATION IN THE CURRICULUM FOR GRADES SIX THROUGH EIGHT."
0042,126,https://www.scstatehouse.gov/billsearch.php?billnumbers=42&session=126&summary=B&PRINT=1,no,01/14/25 Senate Introduced and read first time (Senate Journal-page 42),"S 0042 General Bill, By Davis and Ott","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING SECTION 38-71-285 SO AS TO PROVIDE HEALTH INSURANCE PLANS MUST PROVIDE COVERAGE FOR LACTATION CONSULTING BY CERTIFIED LACTATION CONSULTANTS, AND TO DEFINE NECESSARY TERMS; BY ADDING SECTION 38-71-286 SO AS TO PROVIDE HEALTH INSURANCE PLANS MUST PROVIDE COVERAGE FOR DOULA SERVICES BY CERTIFIED DOULAS, AND TO DEFINE NECESSARY TERMS; BY ADDING SECTION 44-6-230 SO AS TO PROVIDE MEDICAID HEALTH PLANS MUST PROVIDE COVERAGE FOR CERTIFIED LACTATION CONSULTING BY CERTIFIED LACTATION CONSULTANTS, AND TO DEFINE NECESSARY TERMS; BY ADDING SECTION 44-6-230 SO AS TO PROVIDE MEDICAID HEALTH PLANS MUST PROVIDE COVERAGE FOR DOULA SERVICES BY CERTIFIED DOULAS, AND TO DEFINE NECESSARY TERMS; AND TO SPECIFY THAT THE PROVISIONS OF THIS ACT APPLY TO EVERY MEDICAID HEALTH PLAN, EVERY INDIVIDUAL OR GROUP HEALTH INSURANCE CONTRACT, AND EVERY INDIVIDUAL OR GROUP HOSPITAL OR MEDICAL EXPENSE INSURANCE POLICY, PLAN, OR GROUP POLICY DELIVERED, ISSUED FOR DELIVERY, OR RENEWED IN THIS STATE ON OR AFTER JANUARY 1, 2026."
0043,126,https://www.scstatehouse.gov/billsearch.php?billnumbers=43&session=126&summary=B&PRINT=1,no,01/14/25 Senate Introduced and read first time (Senate Journal-page 43),"S 0043 General Bill, By Campsen","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING ARTICLE 7 TO CHAPTER 3, TITLE 15 SO AS TO ESTABLISH THE ""SOUTH CAROLINA PUBLIC EXPRESSION PROTECTION ACT,"" REGARDING A CAUSE OF ACTION ASSERTED IN A CIVIL ACTION BASED UPON A PERSON'S COMMUNICATION IN CERTAIN CIRCUMSTANCES, AND TO ESTABLISH REQUIREMENTS FOR THESE PROCEEDINGS."
0044,126,https://www.scstatehouse.gov/billsearch.php?billnumbers=44&session=126&summary=B&PRINT=1,no,01/14/25 Senate Introduced and read first time (Senate Journal-page 43),"S 0044 General Bill, By Davis","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING SECTION 40-47-937 SO AS TO PROVIDE PHYSICIAN ASSISTANTS WHO MEET CERTAIN POSTGRADUATE CLINICAL EXPERIENCE AND PRACTICE EXPERIENCE MAY PRACTICE PURSUANT ONLY TO AN ATTESTATION STATEMENT, AND TO PROVIDE FOR THE FUNCTIONS, LOCATIONS, AND COLLABORATION REQUIREMENTS ALLOWED UNDER THESE PRACTICE ARRANGEMENTS; BY ADDING SECTION 40-47-939 SO AS TO PROVIDE THAT CERTAIN PHYSICIAN ASSISTANTS LICENSED IN OTHER JURISDICTIONS MAY PROVIDE EMERGENCY CARE IN THIS STATE UNDER CERTAIN CIRCUMSTANCES, AND TO LIMIT THEIR LIABILITY FOR PROVIDING SUCH CARE; BY AMENDING SECTION 40-47-10, RELATING TO THE STATE BOARD OF MEDICAL EXAMINERS, SO AS TO REVISE THE COMPOSITION OF THE BOARD TO INCLUDE TWO PHYSICIAN ASSISTANTS, TO PROVIDE FOR THEIR MANNER OF APPOINTMENT AND THE FILLING OF VACANCIES, AND TO LIMIT THEIR TERMS OF SERVICE; BY AMENDING SECTION 40-47-20, RELATING TO DEFINITIONS CONCERNING THE MEDICAL PRACTICE ACT, SO AS TO REVISE VARIOUS DEFINITIONS; BY AMENDING SECTION 40-47-113, RELATING TO REQUIREMENTS CONCERNING PHYSICIAN-PATIENT RELATIONSHIPS AND THE PRESCRIBING OF DRUGS, SO AS TO MAKE CONFORMING CHANGES; BY AMENDING SECTION 40-47-195, RELATING TO SUPERVISING PHYSICIANS AND SCOPE OF PRACTICE GUIDELINES, SO AS TO REMOVE CERTAIN LIMITATIONS IMPOSED ON SUPERVISING PHYSICIANS; BY AMENDING SECTION 40-47-196, RELATING TO THE DELEGATION OF TASKS TO CERTIFIED MEDICAL ASSISTANTS, SO AS TO MAKE TECHNICAL CHANGES; BY AMENDING SECTION 40-47-910, RELATING TO DEFINITIONS IN THE SOUTH CAROLINA PHYSICIAN ASSISTANTS PRACTICE ACT, SO AS TO REVISE NECESSARY DEFINITIONS; BY AMENDING SECTION 40-47-915, RELATING TO THE APPLICATION OF THE SOUTH CAROLINA PHYSICIAN ASSISTANTS PRACTICE ACT, SO AS TO REVISE REQUIREMENTS CONCERNING PHYSICIAN ASSISTANTS STUDENTS; BY AMENDING SECTION 40-47-935, RELATING TO ACTS AND DUTIES AUTHORIZED TO BE PERFORMED BY PHYSICIAN ASSISTANTS, SO AS TO CLARIFY AND EXPAND THE AUTHORIZED ACTS AND DUTIES; BY AMENDING SECTION 40-47-965, RELATING TO REQUIREMENTS FOR WRITING PRESCRIPTIONS FOR DRUGS, CONTROLLED SUBSTANCES, AND MEDICAL DEVICES BY PHYSICIAN ASSISTANTS, SO AS TO REVISE THE REQUIREMENTS; BY AMENDING SECTION 40-47-1000, RELATING TO THE UNLAWFUL HOLDING OF ONESELF OUT AS A PHYSICIAN ASSISTANT, SO AS TO PROVIDE FOR THE LAWFUL AND UNLAWFUL USE OF CERTAIN ABBREVIATIONS INDICATIVE OF LICENSURE AS A PHYSICIAN ASSISTANT; BY AMENDING SECTION 40-47-1005, RELATING TO MISCONDUCT MANDATING REVOCATION OR DENIAL OF A PHYSICIAN ASSISTANT LICENSE, SO AS TO SPECIFICALLY AUTHORIZE THE BOARD TO DISCIPLINE PHYSICIAN ASSISTANTS FOR MISCONDUCT, TO REVISE THE BASES FOR MISCONDUCT, AND TO PROVIDE REMEDIES AVAILABLE TO THE BOARD UPON FINDING MISCONDUCT; BY AMENDING SECTION 40-47-1020, RELATING TO THIRD-PARTY REIMBURSEMENT TO PHYSICIAN ASSISTANTS, SO AS TO MAKE SUCH PAYMENTS MANDATORY IN CERTAIN CIRCUMSTANCES, AND TO PROVIDE INSURANCE COMPANIES AND THIRD-PARTY PAYERS MAY NOT IMPOSE MORE RESTRICTIVE OR CONTRADICTORY PRACTICE, EDUCATION, OR COLLABORATION REQUIREMENTS; BY AMENDING SECTION 44-80-120, RELATING TO THE AUTHORITY OF PHYSICIAN ASSISTANTS TO CREATE, EXECUTE, AND SIGN POST FORMS, SO AS TO REMOVE OBSOLETE SCOPE OF PRACTICE AND SUPERVISING PHYSICIAN REQUIREMENTS; BY AMENDING SECTION 44-99-10, RELATING TO DEFINITIONS CONCERNING EMERGENCY ANAPHYLAXIS TREATMENTS, SO AS TO REMOVE OBSOLETE LANGUAGE; BY AMENDING SECTION ASSISTANTS AMONG PERSONS AUTHORIZED TO REMOVE STUDENT ATHLETES SUSPECTED OF HAVING SUSTAINED A CONCUSSION FROM COMPETITION, AND TO REMOVE OBSOLETE LANGUAGE; AND BY AMENDING SECTION 59-63-95, RELATING TO THE PRESCRIPTION OF LIFESAVING MEDICATIONS TO BE MAINTAINED AND USED BY PUBLIC SCHOOLS, SO AS TO MAKE CONFORMING CHANGES."
0045,126,https://www.scstatehouse.gov/billsearch.php?billnumbers=45&session=126&summary=B&PRINT=1,no,01/14/25 Senate Introduced and read first time (Senate Journal-page 46),"S 0045 General Bill, By Davis and Graham","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING SECTION 40-33-31 SO AS TO PROVIDE THE BOARD OF NURSING MAY GRANT FULL PRACTICE AUTHORITY TO ADVANCED PRACTICE REGISTERED NURSES WHO MEET CERTAIN CRITERIA, TO PROVIDE REQUIREMENTS OF THE BOARD, AND TO PROVIDE DEFINITIONS; BY AMENDING SECTION 40-33-20, RELATING TO DEFINITIONS CONCERNING THE PRACTICE OF NURSING, SO AS TO MAKE CONFORMING CHANGES AND OTHER REVISIONS; BY AMENDING SECTION 40-33-34, RELATING TO ADVANCED PRACTICE REGISTERED NURSE APPLICATION REQUIREMENTS, PRACTICE AGREEMENTS, ALLOWED MEDICAL ACTS, AND PRESCRIPTIVE AUTHORITY, AMONG OTHER THINGS, SO AS TO MAKE CONFORMING CHANGES AND OTHER CHANGES; BY AMENDING SECTION 40-33-42, RELATING TO DELEGATION OF TASKS TO UNLICENSED ASSISTIVE PERSONNEL, SO AS TO MAKE CONFORMING CHANGES; AND BY AMENDING SECTION 40-33-110, RELATING TO GROUNDS FOR DISCIPLINE OF LICENSEES, SO AS TO MAKE CONFORMING CHANGES."
0046,126,https://www.scstatehouse.gov/billsearch.php?billnumbers=46&session=126&summary=B&PRINT=1,yes,01/14/25 Senate Introduced and read first time (Senate Journal-page 46),"S 0046 General Bill, By Davis and Kimbrell","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING CHAPTER 9 TO TITLE 41 SO AS TO PROVIDE CERTAIN CONTRACT PROVISIONS THAT INTERFERE WITH THE PHYSICIAN-PATIENT RELATIONSHIP OR ALLOW FOR THE CORPORATE PRACTICE OF MEDICINE ARE DECLARED TO BE AGAINST PUBLIC POLICY OF THIS STATE, TO PROVIDE CERTAIN CONTRAVENING CONTRACT PROVISIONS ARE UNENFORCEABLE, TO SPECIFY CERTAIN RELATED CONTRACT PROVISIONS WHICH ARE ENFORCEABLE, AND TO PROVIDE REMEDIES FOR VIOLATIONS, AMONG OTHER THINGS."
0047,126,https://www.scstatehouse.gov/billsearch.php?billnumbers=47&session=126&summary=B&PRINT=1,yes,01/14/25 Senate Introduced and read first time (Senate Journal-page 47),"S 0047 General Bill, By Davis, Sutton, Devine and Graham","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 12-6-3440, RELATING TO THE TAX CREDIT FOR EMPLOYEE CHILDCARE PROGRAMS, SO AS TO INCREASE THE MAXIMUM CREDIT AND TO ALLOW THE CREDIT TO BE APPLIED AGAINST OTHER TAXES; AND BY ADDING SECTION 12-6-3595 SO AS TO ALLOW A TAX CREDIT FOR INDIVIDUAL TAXPAYERS THAT ARE EMPLOYED FULL-TIME AS A CHILDCARE DIRECTOR OR CHILDCARE STAFF PERSON."
0048,126,https://www.scstatehouse.gov/billsearch.php?billnumbers=48&session=126&summary=B&PRINT=1,no,01/14/25 Senate Introduced and read first time (Senate Journal-page 47),"S 0048 Joint Resolution, By Davis",A JOINT RESOLUTION TO RATIFY A PROPOSED AMENDMENT TO THE CONSTITUTION OF THE UNITED STATES OF AMERICA PROVIDING THAT EQUALITY OF RIGHTS UNDER THE LAW MUST NOT BE DENIED OR ABRIDGED ON ACCOUNT OF SEX.
0049,126,https://www.scstatehouse.gov/billsearch.php?billnumbers=49&session=126&summary=B&PRINT=1,yes,01/14/25 Senate Introduced and read first time (Senate Journal-page 47),"S 0049 General Bill, By Davis",A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING SECTION 27-1-80 SO AS TO ESTABLISH A TRANSFER ON DEATH FOR REAL PROPERTY.
0050,126,https://www.scstatehouse.gov/billsearch.php?billnumbers=50&session=126&summary=B&PRINT=1,no,01/14/25 Senate Introduced and read first time (Senate Journal-page 47),"S 0050 General Bill, By Davis and Rice","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING ARTICLE 42 TO CHAPTER 6, TITLE 12 SO AS TO ALLOW AN INCOME TAX CREDIT FOR CONTRIBUTIONS TO A SCHOLARSHIP FUNDING ORGANIZATION THAT PROVIDES GRANTS FOR STUDENTS TO ATTEND CERTAIN INDEPENDENT AND HOME SCHOOLS, TO SPECIFY THE MANNER IN WHICH THE CREDIT IS CLAIMED, TO SPECIFY THE PROCESS BY WHICH CERTAIN ORGANIZATIONS AND SCHOOLS BECOME ELIGIBLE, TO SPECIFY CERTAIN INFORMATION WHICH MUST BE MADE PUBLIC, AND TO ALLOW THE STATE TREASURER AND DEPARTMENT OF REVENUE TO ENFORCE THE PROVISIONS OF THE CREDIT; AND BY REPEALING SECTION 12-6-3790 RELATING TO EDUCATIONAL CREDIT FOR EXCEPTIONAL NEEDS CHILDREN'S FUND."
0051,126,https://www.scstatehouse.gov/billsearch.php?billnumbers=51&session=126&summary=B&PRINT=1,yes,05/01/25 House Read second time,"S 0051 Joint Resolution, By Davis, Grooms, Stubbs, Massey, Garrett, Sutton, Turner, Graham, Gambrell, Zell,","A JOINT RESOLUTION TO ENCOURAGE SANTEE COOPER TO ISSUE A REQUEST FOR PROPOSAL TO SOLICIT PROPOSALS ON UTILIZING ASSETS ASSOCIATED WITH V.C. SUMMER UNITS 2 AND 3, AND FOR CONSIDERATIONS RELATED TO A REQUEST FOR PROPOSAL."
